method,scale,noise_level,PSNR,SSIM
Bicubic,2,0.005,32.171025433626596,0.9274070858955383
TV,2,0.005,32.37100407797375,0.9325254559516907
UNet,2,0.005,32.22594215737823,0.9274097681045532
Bicubic,2,0.01,31.606318594926563,0.8992201089859009
TV,2,0.01,32.16792145589515,0.9235254526138306
UNet,2,0.01,31.68045165969794,0.9015836715698242
Bicubic,4,0.005,26.262097099602236,0.799795925617218
TV,4,0.005,26.568661427420203,0.8021658062934875
UNet,4,0.005,26.48109524668063,0.8016189336776733
Bicubic,4,0.01,26.110157063058143,0.7741187214851379
TV,4,0.01,26.558952233487823,0.8011605143547058
UNet,4,0.01,26.337094946073243,0.7776936292648315
